Date,Target
2021-04-21,56.90820693969727
2021-04-22,53.87953186035156
2021-04-23,53.442962646484375
2021-04-26,52.72444534301758
2021-04-27,52.40612030029297
2021-04-28,53.00639343261719
2021-04-29,52.32426452636719
2021-04-30,52.07869720458984
2021-05-03,51.75126647949219
2021-05-04,51.70579528808594
2021-05-05,52.33538818359375
2021-05-06,52.7746467590332
2021-05-07,51.21895599365234
2021-05-10,50.36790466308594
2021-05-11,49.06843566894531
2021-05-12,49.425323486328125
2021-05-13,50.65158462524414
2021-05-14,50.63328170776367
2021-05-17,50.18487548828125
2021-05-18,50.660743713378906
2021-05-19,51.20065689086914
2021-05-20,51.319610595703125
2021-05-21,52.12491607666016
2021-05-24,52.04255676269531
2021-05-25,52.08831405639648
2021-05-26,52.82955551147461
2021-05-27,52.27133941650391
2021-05-28,52.06085586547852
2021-06-01,52.60076904296875
2021-06-02,51.466041564941406
2021-06-03,52.500118255615234
2021-06-04,52.24387741088867
2021-06-07,52.16152572631836
2021-06-08,52.16152572631836
2021-06-09,52.5092658996582
2021-06-10,52.93936920166016
2021-06-11,53.25050735473633
2021-06-14,53.0674934387207
2021-06-15,52.36285018920898
2021-06-16,52.32624435424805
2021-06-17,50.94441604614258
2021-06-18,51.12744140625
2021-06-21,51.12744140625
2021-06-22,50.56922149658203
2021-06-23,51.31046676635742
2021-06-24,51.1640510559082
2021-06-25,52.60076904296875
2021-06-28,51.932743072509766
2021-06-29,51.3745231628418
2021-06-30,51.25555419921875
2021-07-01,51.94189834594727
2021-07-02,51.32876968383789
2021-07-06,51.209808349609375
2021-07-07,50.68819427490234
2021-07-08,51.23725891113281
2021-07-09,51.9144401550293
2021-07-12,52.04255676269531
2021-07-13,51.722267150878906
2021-07-14,51.07254409790039
2021-07-15,50.30384063720703
2021-07-16,50.00185394287109
2021-07-19,50.55091857910156
2021-07-20,51.45688629150391
2021-07-21,51.209808349609375
2021-07-22,48.50106430053711
2021-07-23,49.69986724853516
2021-07-26,48.66577911376953
2021-07-27,48.565128326416016
2021-07-28,49.14164733886719
2021-07-29,49.159942626953125
2021-07-30,49.12333679199219
2021-08-02,49.47108840942383
2021-08-03,49.32466506958008
2021-08-04,49.635986328125
2021-08-05,49.66361618041992
2021-08-06,49.78335571289063
2021-08-09,49.68204116821289
2021-08-10,49.866249084472656
2021-08-11,49.31361389160156
2021-08-12,49.267555236816406
2021-08-13,49.24913787841797
2021-08-16,48.53071212768555
2021-08-17,48.0701789855957
2021-08-18,48.30044555664063
2021-08-19,47.90439224243164
2021-08-20,49.0280876159668
2021-08-23,49.56230163574219
2021-08-24,49.56230163574219
2021-08-25,48.93598175048828
2021-08-26,49.635986328125
2021-08-27,49.68204116821289
2021-08-30,49.79256820678711
2021-08-31,49.433353424072266
2021-09-01,49.48860931396485
2021-09-02,49.285980224609375
2021-09-03,49.4149284362793
2021-09-07,49.34124374389648
2021-09-08,49.184669494628906
2021-09-09,49.58993148803711
2021-09-10,50.64915466308594
2021-09-13,50.21625900268555
2021-09-14,50.76889419555664
2021-09-15,50.50178146362305
2021-09-16,49.97677612304688
2021-09-17,48.79782104492188
2021-09-20,48.69650650024414
2021-09-21,49.27677154541016
2021-09-22,49.76493453979492
2021-09-23,49.939937591552734
2021-09-24,50.3452033996582
2021-09-27,49.73729705810547
2021-09-28,49.267555236816406
2021-09-29,49.07413482666016
2021-09-30,49.60835647583008
2021-10-01,49.24913787841797
2021-10-04,49.69124221801758
2021-10-05,49.7188835144043
2021-10-06,49.90309524536133
2021-10-07,49.56230163574219
2021-10-08,49.22150802612305
2021-10-11,48.0517578125
2021-10-12,48.1346549987793
2021-10-13,49.64519500732422
2021-10-14,50.16098785400391
2021-10-15,50.17020797729492
2021-10-18,50.851783752441406
2021-10-19,50.99915313720703
2021-10-20,51.57942581176758
2021-10-21,45.55569076538086
2021-10-22,45.5096321105957
2021-10-25,44.46883010864258
2021-10-26,44.109619140625
2021-10-27,44.28462600708008
2021-10-28,45.13199234008789
2021-10-29,45.638580322265625
2021-11-01,45.92411422729492
2021-11-02,46.41227340698242
2021-11-03,46.66083908081055
2021-11-04,47.22658157348633
2021-11-05,47.81089401245117
2021-11-08,47.48627853393555
2021-11-09,47.07818603515625
2021-11-10,46.864871978759766
2021-11-11,46.66083908081055
2021-11-12,46.67010498046875
2021-11-15,46.9390754699707
2021-11-16,46.58663558959961
2021-11-17,46.07653045654297
2021-11-18,45.92813491821289
2021-11-19,46.21565628051758
2021-11-22,45.5385971069336
2021-11-23,46.15072250366211
2021-11-24,45.24180221557617
2021-11-26,46.37331008911133
2021-11-29,45.631343841552734
2021-11-30,45.07486724853516
2021-12-01,45.90958404541016
2021-12-02,45.67771530151367
2021-12-03,47.2915153503418
2021-12-06,48.75690460205078
2021-12-07,47.99638366699219
2021-12-08,46.81850051879883
2021-12-09,46.92051696777344
2021-12-10,46.37331008911133
2021-12-13,46.0950813293457
2021-12-14,46.994720458984375
2021-12-15,47.14312362670898
2021-12-16,46.94834518432617
2021-12-17,46.00232696533203
2021-12-20,47.08747100830078
2021-12-21,47.27296829223633
2021-12-22,47.58830261230469
2021-12-23,48.17260360717773
2021-12-27,48.00566101074219
2021-12-28,48.07058334350586
2021-12-29,47.98711013793945
2021-12-30,47.76451873779297
2021-12-31,49.35048675537109
2022-01-03,49.28556060791016
2022-01-04,49.96261215209961
2022-01-05,50.09245681762695
2022-01-06,49.56380081176758
2022-01-07,51.20542144775391
2022-01-10,51.85464477539063
2022-01-11,51.69697189331055
2022-01-12,50.95499801635742
2022-01-13,51.65987396240234
2022-01-14,50.78805541992188
2022-01-18,49.73073959350586
2022-01-19,48.26534652709961
2022-01-20,48.26534652709961
2022-01-21,48.17260360717773
2022-01-24,47.30078125
2022-01-25,47.94073486328125
2022-01-26,44.56475830078125
2022-01-27,44.26797103881836
2022-01-28,45.278900146484375
2022-01-31,45.39948272705078
2022-02-01,45.91886520385742
2022-02-02,44.77807235717773
2022-02-03,44.86685943603516
2022-02-04,45.025726318359375
2022-02-07,45.61448287963867
2022-02-08,46.64247131347656
2022-02-09,45.66120910644531
2022-02-10,44.51173400878906
2022-02-11,44.46501922607422
2022-02-14,45.26870727539063
2022-02-15,45.07245635986328
2022-02-16,44.45566177368164
2022-02-17,42.0912971496582
2022-02-18,41.76421356201172
2022-02-22,41.726837158203125
2022-02-23,43.661319732666016
2022-02-24,44.58649826049805
2022-02-25,44.57715225219727
2022-02-28,43.754764556884766
2022-03-01,45.670555114746094
2022-03-02,44.792091369628906
2022-03-03,44.92292404174805
2022-03-04,44.55846405029297
2022-03-07,44.3902473449707
2022-03-08,44.51173400878906
2022-03-09,43.60523986816406
2022-03-10,42.82958221435547
2022-03-11,41.493202209472656
2022-03-14,41.87635803222656
2022-03-15,43.57720565795898
2022-03-16,44.05381393432617
2022-03-17,44.34352111816406
2022-03-18,44.28744888305664
2022-03-21,45.221981048583984
2022-03-22,45.10983657836914
2022-03-23,48.24051284790039
2022-03-24,48.436771392822266
2022-03-25,48.13771438598633
2022-03-28,48.82926940917969
2022-03-29,48.06295394897461
2022-03-30,46.31538009643555
2022-03-31,44.9603157043457
2022-04-01,45.97895431518555
2022-04-04,44.979000091552734
2022-04-05,44.42763137817383
2022-04-06,44.446319580078125
2022-04-07,43.94166946411133
2022-04-08,43.52113723754883
2022-04-11,43.45571899414063
2022-04-12,43.93232345581055
2022-04-13,42.68004989624024
2022-04-14,43.5865478515625
2022-04-18,44.792091369628906
2022-04-19,44.9603157043457
2022-04-20,44.3902473449707
2022-04-21,43.49309921264648
2022-04-22,43.97905731201172
2022-04-25,42.53987121582031
2022-04-26,42.25951385498047
2022-04-27,43.77345657348633
2022-04-28,40.73622512817383
2022-04-29,42.01654052734375
2022-05-02,42.10999298095703
2022-05-03,43.49309921264648
2022-05-04,42.00957489013672
2022-05-05,41.726993560791016
2022-05-06,40.56843566894531
2022-05-09,41.45383834838867
2022-05-10,40.342376708984375
2022-05-11,40.35179901123047
2022-05-12,41.06765365600586
2022-05-13,40.577857971191406
2022-05-16,41.82119369506836
2022-05-17,39.8902587890625
2022-05-18,39.57000350952149
2022-05-19,39.230918884277344
2022-05-20,39.56058120727539
2022-05-23,39.24974822998047
2022-05-24,39.74897384643555
2022-05-25,40.954627990722656
2022-05-26,41.96247482299805
2022-05-27,41.84002685546875
2022-05-31,41.54803466796875
2022-06-01,42.235633850097656
2022-06-02,40.869850158691406
2022-06-03,40.82275772094727
2022-06-06,41.00171661376953
2022-06-07,38.83531188964844
2022-06-08,37.68616485595703
2022-06-09,36.90437316894531
2022-06-10,35.576271057128906
2022-06-13,35.72697830200195
2022-06-14,36.405155181884766
2022-06-15,35.171241760253906
2022-06-16,34.822731018066406
2022-06-17,35.538597106933594
2022-06-21,35.20892333984375
2022-06-22,35.237178802490234
2022-06-23,36.36748123168945
2022-06-24,36.38632583618164
2022-06-27,35.58568572998047
2022-06-28,35.1241455078125
2022-06-29,35.237178802490234
2022-06-30,34.229331970214844
2022-07-01,34.55900192260742
2022-07-05,34.841575622558594
2022-07-06,35.924774169921875
2022-07-07,35.78348922729492
2022-07-08,35.03937530517578
2022-07-11,35.04879379272461
2022-07-12,35.04879379272461
2022-07-13,35.519752502441406
2022-07-14,36.37689971923828
2022-07-15,36.461673736572266
2022-07-18,37.88397216796875
2022-07-19,38.2042236328125
2022-07-20,38.25131988525391
2022-07-21,36.92321014404297
2022-07-22,36.885536193847656
2022-07-25,36.6971549987793
2022-07-26,37.846290588378906
2022-07-27,37.403587341308594
2022-07-28,34.20106887817383
2022-07-29,34.813316345214844
2022-08-01,33.91849136352539
2022-08-02,34.39887619018555
2022-08-03,33.92790985107422
2022-08-04,33.671024322509766
2022-08-05,33.66151428222656
2022-08-08,32.843292236328125
2022-08-09,33.65200424194336
2022-08-10,33.86130905151367
2022-08-11,34.356056213378906
2022-08-12,34.574886322021484
2022-08-15,34.43217086791992
2022-08-16,34.042083740234375
2022-08-17,34.44168472290039
2022-08-18,33.66151428222656
2022-08-19,32.196319580078125
2022-08-22,32.30097198486328
2022-08-23,32.21534729003906
2022-08-24,33.1953125
2022-08-25,31.73962783813477
