Date,Close,MA5,MA14,Daily Return,RSI,Bollinger Band Width,High-Low Range,Relative Volume
2021-04-29,53.00639343261719,53.09189071655273,56.45864731924875,0.0114542562754995,16.644387200671076,0.2061274352778671,0.7548936569120528,0.7462508190444455
2021-04-30,52.32426452636719,52.78083724975586,55.94672175816128,-0.0128688043474819,19.362367393610768,0.2221694636195714,1.2369378272551683,0.9857542318311324
2021-05-03,52.07869720458984,52.50798416137695,55.42959867204939,-0.0046931824842679,19.24265476640396,0.2315423109454278,0.9458940684578464,0.7212625274600241
2021-05-04,51.75126647949219,52.31334838867188,54.956002371651785,-0.0062872295712649,20.293397195785676,0.2419249226596248,1.064128038626997,1.1314325047737457
2021-05-05,51.70579528808594,52.17328338623047,54.42523711068289,-0.0008786488621349,14.447361053162226,0.2465773546572018,0.763990802065571,0.6692622131295773
2021-05-06,52.33538818359375,52.03908233642578,53.956983293805806,0.0121764473788663,19.74636577677329,0.2407229358917804,0.9151143458701156,0.8092739697323871
2021-05-07,52.7746467590332,52.12915878295898,53.59286608014788,0.0083931464098159,25.145409609458586,0.2202043017394233,0.7046350291953587,0.6400187269370475
2021-05-10,51.21895599365234,51.95721054077149,53.17804554530552,-0.0294779948501424,23.51752570146293,0.2177202817335884,1.2354030896810002,1.1538320349917637
2021-05-11,50.36790466308594,51.68053817749024,52.63746997288296,-0.0166159445083549,15.304214061936548,0.2158636636751326,1.2171040027979672,1.1666095277819852
2021-05-12,49.06843566894531,51.15306625366211,52.07748631068638,-0.0257995444287956,14.932202053680712,0.2220435186907814,1.1255938417483549,0.973523809186461
2021-05-13,49.425323486328125,50.57105331420898,51.75932856968471,0.0072732666635362,23.81797405933472,0.2151576699222138,0.8510566071869476,0.9336298476273232
2021-05-14,50.65158462524414,50.14644088745117,51.559944425310405,0.0248103816509206,34.986012800841735,0.1974746268934062,1.4550321500119097,0.8954953324735084
2021-05-17,50.63328170776367,50.02930603027344,51.410575594220845,-0.0003613493559162,37.83600510181893,0.1815802858593545,1.034080255168888,0.6404286636490115
2021-05-18,50.18487548828125,49.9927001953125,51.25191525050572,-0.0088559580647064,37.27195863975651,0.1684218311079662,1.2262534760173196,0.5997260038975104
2021-05-19,50.660743713378906,50.311161804199216,51.0843688419887,0.0094823035918216,36.36470075864754,0.1362757705633623,1.4550323220088046,0.7629044656311533
2021-05-20,51.20065689086914,50.66622848510743,51.00411115373884,0.0106574269920882,43.35864237587829,0.1019790255089192,0.8053017361531687,0.7613244595695635
2021-05-21,51.319610595703125,50.79983367919922,50.94989068167551,0.0023232847400282,45.44505637884389,0.0933127233427149,0.6680330067654197,0.6465120537722232
2021-05-24,52.12491607666016,51.09816055297851,50.97657993861607,0.0156919639804216,52.1204952195227,0.0871368855026813,0.90596131310555,0.7262176178369026
2021-05-25,52.04255676269531,51.469696807861325,51.0006343296596,-0.0015800373442084,51.90318341272606,0.0846556586516231,1.04323338466871,0.8716015055997034
2021-05-26,52.08831405639648,51.75521087646485,50.98298617771694,0.0008792283959031,48.50502464427712,0.0836069373161722,0.5856727033785702,0.6109578710210339
2021-05-27,52.82955551147461,52.080990600585935,50.98690823146275,0.014230475078836,50.320523954455936,0.0825508606260975,0.8053016741172456,1.2806178420800929
2021-05-28,52.27133941650391,52.27133636474609,51.06207847595215,-0.0105663598636458,56.95285658983509,0.0823582723879079,0.6497339499860502,0.8197233581531264
2021-06-01,52.06085586547852,52.25852432250976,51.18300356183733,-0.0040267487570623,62.21919478321112,0.0823089121240567,1.1255902543500724,0.8238836436211985
2021-06-02,52.60076904296875,52.37016677856445,51.43531308855329,0.0103708087105851,78.63495519120275,0.0848967016149493,0.851056570146568,0.775662211184524
2021-06-03,51.466041564941406,52.24571228027344,51.5810786655971,-0.0215724503400397,64.69049460230144,0.0847237831585454,0.9242641188691748,0.9145564801349256
2021-06-04,52.500118255615234,52.17982482910156,51.713116782052175,0.0200924077164357,63.685695177802025,0.0853575547347157,1.1072877149505231,0.908093830194084
2021-06-07,52.24387741088867,52.17433242797851,51.82815933227539,-0.0048807670009229,61.51830289670826,0.0830916424893268,0.603975320147903,0.7376735440692863
2021-06-08,52.16152572631836,52.19446640014648,51.96934863499233,-0.001576293503689,64.917195941297,0.0841611207490352,0.9517199036960378,1.418113835463912
2021-06-09,52.16152572631836,52.1066177368164,52.07654735020229,0.0,62.20239258342561,0.0828174436228074,0.4667068520883077,0.6222321068777886
2021-06-10,52.5092658996582,52.31526260375976,52.17001942225865,0.0066666027977089,60.98311570556987,0.0715185920191726,1.006624456111048,1.205943459603323
2021-06-11,52.93936920166016,52.40311279296875,52.28571646554129,0.0081909981911356,62.919792071098,0.0619798085097523,0.9059613448805096,0.8381650819363877
2021-06-14,53.25050735473633,52.60443878173828,52.36611584254673,0.005877254636166,59.7464773658908,0.0625227228803858,0.8876621130120839,1.0227654456502833
2021-06-15,53.0674934387207,52.78563232421875,52.439325605119976,-0.0034368483063729,58.72285966403416,0.0602450287058238,0.5673700344455312,0.9750265002516468
2021-06-16,52.36285018920898,52.82589721679688,52.4589353288923,-0.0132782463208933,52.100862904449976,0.0494960540744259,1.4641817304445013,1.0177440147993544
2021-06-17,52.32624435424805,52.789292907714845,52.42298453194754,-0.0006990802606935,45.68288545805783,0.0410028005042633,1.0981380344828366,1.005336060518062
2021-06-18,50.94441604614258,52.39030227661133,52.32820429120745,-0.0264079397472233,40.02743105110116,0.0432578668513929,1.509940128901171,2.3981844244168986
2021-06-21,51.12744140625,51.96568908691406,52.261531829833984,0.0035926481116526,42.95579657199309,0.044661399732716,0.6131284735215417,0.8349812141585921
2021-06-22,51.12744140625,51.57767868041992,52.15629414149693,0.0,37.894759276764646,0.0486832947855726,0.7137881268633564,0.8110318529734536
2021-06-23,50.56922149658203,51.21895294189453,52.09223556518555,-0.0109182054551184,41.860391040253496,0.0562428918512214,0.6771862092447449,0.8845925438875697
2021-06-24,51.31046676635742,51.0157974243164,52.00726045880999,0.0146580320566234,38.59647326573955,0.0580231876805043,0.6954854437624789,0.9127733920856134
2021-06-25,51.1640510559082,51.05972442626953,51.93013000488281,-0.0028535252098937,39.42659237976564,0.0585877290828368,0.6039754244686861,0.93070706558355
2021-06-28,52.60076904296875,51.35438995361328,51.9615045275007,0.0280806143651646,53.39934920965759,0.059298898509726,1.2720083063160104,0.9868234927456232
2021-06-29,51.932743072509766,51.51545028686523,51.94516290937151,-0.0126999278264027,48.39534619896059,0.0593228104462273,1.7844738081574008,1.141978069775467
2021-06-30,51.3745231628418,51.67651062011719,51.86410985674177,-0.0107489009176459,42.26930529624809,0.0593928449305624,0.905964815008936,1.2637468447655291
2021-07-01,51.25555419921875,51.66552810668945,51.74383735656738,-0.0023157190821206,38.02078414386712,0.0600547510277217,0.7046384820396554,1.0447982518083256
2021-07-02,51.94189834594727,51.82109756469727,51.65036528451102,0.0133906297073846,41.16195811460058,0.0592438181552091,0.613128540434488,0.7299000273404136
2021-07-06,51.32876968383789,51.566697692871095,51.52617073059082,-0.011804125024961,38.90184253431744,0.0598219259302986,1.1987976963545464,1.0896300685403468
2021-07-07,51.209808349609375,51.42211074829102,51.44381059919085,-0.0023176346318305,42.04547189047256,0.0606854169099305,0.6771862893612663,0.6428239360126822
