Price,Open,High,Low,Close,Volume,Dividends
Ticker,INTC,INTC,INTC,INTC,INTC,INTC
Date,,,,,,
2021-04-01,58.86365707338173,59.01827255130448,57.826813255853125,58.709041595458984,31416300,0.0
2021-04-05,59.072845540812764,60.7008740638183,58.84546737177341,60.51897430419922,27947500,0.0
2021-04-06,60.082411414667426,60.555361941310586,59.38208963437075,59.627655029296875,28771400,0.0
2021-04-07,59.727695674536186,60.54625846946761,59.4457489659052,60.25521469116211,17793300,0.0
2021-04-08,60.910063555214876,61.20110732696513,60.355260281092384,60.982826232910156,22224200,0.0
2021-04-09,60.755440764429466,62.2106594482119,60.60081835816037,62.08332824707031,27177100,0.0
2021-04-12,62.0287564243337,62.292515910506864,58.85455939940576,59.4912223815918,51266900,0.0
2021-04-13,59.67312981404885,59.69131701518353,58.39981062464989,59.31842041015625,26822000,0.0
2021-04-14,59.40026433288302,59.463929935872045,58.06328320059831,58.381614685058594,25768400,0.0
2021-04-15,58.18152483077533,59.31841563350572,57.917765331858185,59.13650894165039,24927700,0.0
2021-04-16,59.41846060013654,59.59126327785486,58.72722907217164,58.89094161987305,24625500,0.0
2021-04-19,58.845462485853446,58.881843822562736,57.362959444859754,57.87228775024414,23997700,0.0
2021-04-20,57.881384117910834,57.99052466374325,56.76268398196118,57.02644348144531,19872100,0.0
2021-04-21,57.10830621602403,58.00872189261274,56.662643443413245,57.93596267700195,24364200,0.0
2021-04-22,57.617625705262796,58.12695404461384,56.644447435237865,56.908206939697266,38257600,0.0
2021-04-23,53.80676918170424,54.57075995992379,52.660784749132645,53.87953186035156,77479500,0.0
2021-04-26,53.75219709123579,54.134194214524236,53.170109541001466,53.442962646484375,39645900,0.0
2021-04-27,53.26105790369461,53.32472350669738,52.54254213321745,52.72444534301758,38167700,0.0
2021-04-28,52.315170418970844,52.897257986269814,51.9786516946603,52.40612030029297,30387400,0.0
2021-04-29,52.642590472851644,53.02458410103275,52.2696904441207,53.00639343261719,23290600,0.0
2021-04-30,52.39702720774248,53.14282734426123,51.90588951700606,52.32426452636719,30731800,0.0
2021-05-03,52.62440692232278,52.64259759319878,51.69670352474093,52.078697204589844,22281700,0.0
